STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1967,,18.3951,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1959,,15.63717,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Grèce,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1967,,1.294626,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Grèce,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1959,,1.096561,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Grèce,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1963,,1.142243,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japon,CPI,Inflation (IPC),ENRG,Énergie,IDX2015,2015=100,A,Annuelle,1967,,33.64181,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japon,CPI,Inflation (IPC),ENRG,Énergie,IDX2015,2015=100,A,Annuelle,1959,,29.24961,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),TOT_FOODENRG,"Total sauf alimentation, sauf énergie",IDX2015,2015=100,A,Annuelle,1963,,4.262898,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japon,CPI,Inflation (IPC),TOT_FOODENRG,"Total sauf alimentation, sauf énergie",IDX2015,2015=100,A,Annuelle,1962,,20.09796,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japon,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1966,,25.61891,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japon,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1958,,17.5175,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1966,,5.747542,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1958,,4.389922,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Islande,CPI,Inflation (IPC),FOOD,Alimentation,IDX2015,2015=100,A,Annuelle,1965,,0.06177974,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1962,,4.121066,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Islande,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1961,,0.03689991,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),ENRG,Énergie,IDX2015,2015=100,A,Annuelle,1968,,4.862599,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,CPI,Inflation (IPC),ENRG,Énergie,IDX2015,2015=100,A,Annuelle,1960,,4.285335,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Allemagne,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1962,,24.18694,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Allemagne,CPI,Inflation (IPC),TOT_FOODENRG,"Total sauf alimentation, sauf énergie",IDX2015,2015=100,A,Annuelle,1965,,26.69605,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Allemagne,CPI,Inflation (IPC),ENRG,Énergie,IDX2015,2015=100,A,Annuelle,1962,,12.57547,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1964,,11.55113,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,CPI,Inflation (IPC),TOT,Total,IDX2015,2015=100,A,Annuelle,1956,,7.549639,,A,,,,,,,
