STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Roumanie,EDUEXPTRY,Dépenses de l'enseignement supérieur,HH,Ménages,PC_EDUEXP,% des dépenses d'éducation,A,Annuelle,2013,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finlande,EDUEXPTRY,Dépenses de l'enseignement supérieur,HH,Ménages,PC_EDUEXP,% des dépenses d'éducation,A,Annuelle,2014,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IND,Inde,EDUEXPTRY,Dépenses de l'enseignement supérieur,OTHPRIVENT,Autres entités privées,PC_EDUEXP,% des dépenses d'éducation,A,Annuelle,2005,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russie,EDUEXP,Dépenses d'éducation,PRY,Primaire,PC_GDP,% du PIB,A,Annuelle,2010,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Allemagne,EDUEXPTRY,Dépenses de l'enseignement supérieur,OTHPRIVENT,Autres entités privées,PC_EDUEXP,% des dépenses d'éducation,A,Annuelle,2015,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Lettonie,EDUEXP,Dépenses d'éducation,PRY_NTRY,Du primaire au post-secondaire non tertiaire,PC_GDP,% du PIB,A,Annuelle,1995,,1.100627,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,États-Unis,EDUEXP,Dépenses d'éducation,PRY_NTRY,Du primaire au post-secondaire non tertiaire,USD_STUDENT,Dollars US/étudiant,A,Annuelle,1995,,5970.546,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norvège,EDUEXP,Dépenses d'éducation,PRY_NTRY,Du primaire au post-secondaire non tertiaire,USD_STUDENT,Dollars US/étudiant,A,Annuelle,1995,,6380.913,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,EDUEXP,Dépenses d'éducation,PRY_NTRY,Du primaire au post-secondaire non tertiaire,USD_STUDENT,Dollars US/étudiant,A,Annuelle,1995,,5584.071,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hongrie,EDUEXP,Dépenses d'éducation,PRY,Primaire,USD_STUDENT,Dollars US/étudiant,A,Annuelle,1995,,540.9902,,A,,,,,,,
