STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1967,,0.096341,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israël,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1961,,19.637913,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Corée,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1963,,25.433131,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Corée,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1955,,18.359615,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Danemark,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1967,,4393.971,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1965,,14804.836,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1961,,7555.709,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1962,,6.250882,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1966,,11.037966,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israël,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1968,,33.690261,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Corée,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1962,,29.555506,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Corée,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1954,,27.560084,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Danemark,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1966,,4083.391,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1964,,12764.879,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1968,,14610.61,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1960,,7594.023,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1961,,1.776665,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israël,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1969,,27.13399,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1969,,16429.956,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,GFCF,Investissement (FBCF),TOT,Total,AGRWTH,Taux de croissance annuel (%),A,Annuelle,1969,,3.279381,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,Chine (République populaire de),GFCF,Investissement (FBCF),TOT,Total,MLN_USD,Millions de dollars US,A,Annuelle,1972,,26336.512,,A,,,,,,,
