STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Irlande,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1966,,1124.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Irlande,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1958,,1133,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Allemagne,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1963,,26930,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgique,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1967,,3710,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgique,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1959,,3506,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,G-7,G7,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1964,,219335.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,G-7,G7,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1956,,205058.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Pologne,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1966,,13828,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Pologne,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1958,,12010,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finlande,LF,Population active,TOT,Total,THND_PER,Milliers de personnes,A,Annuelle,1966,,2181,,A,,,,,,,
