STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malte,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,2009,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malte,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lituanie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Chypre,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1989,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HRV,Croatie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1985,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,COL,Colombie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1989,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Roumanie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1988,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chili,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1992,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,République slovaque,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Islande,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1992,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PER,Pérou,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1986,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SAU,Arabie saoudite,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1989,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MLT,Malte,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1985,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lituanie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1985,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Lettonie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1989,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CYP,Chypre,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1988,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovénie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1989,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ROU,Roumanie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1985,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,EST,Estonie,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1987,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chili,PATENT,Familles de brevets triadiques,TOT,Total,NBR,Nombre,A,Annuelle,1985,,0,,A,,,,,,,
