STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Pays,INDICATOR,Indicateur,SUBJECT,Sujet,MEASURE,Mesure,FREQUENCY,Fréquence,TIME_PERIOD,Temps,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ZAF,Afrique du Sud,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1979,,22703.463,,E,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italie,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1979,,147246.979,,E,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Corée,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1954,,820.459,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1963,,41962.924,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1955,,22819.622,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1961,,32305.946,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australie,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1964,,16223.416,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SGP,Singapour,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,1965,,4087.575,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,RUS,Russie,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,2000,,84092.741,,E,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IND,Inde,TRADEGOODSERV,Échanges de biens et services,IMP,Importations,MLN_USD,Millions de dollars US,A,Annuelle,2000,,107224.615,,E,,,,,,,
